Student Name,Student ID,Attendance Percentage,Previous Exam Score,Previous Semester Score,Assignment Score,Internal Assessment Score,Study Hours per Day,Class Participation Percentage,Sleep Hours per Day,Final Performance Score,Performance Category
Arjun Kapoor,ST1023,100.0,67.4,78.0,95.2,76.2,6.0,100.0,7.5,98.0,Excellent
Shivam Chauhan,ST1024,90.7,59.3,75.0,96.1,82.7,6.0,58.8,5.9,78.9,Good
Kavya Kumar,ST1025,81.0,51.8,26.6,50.8,48.7,4.1,63.7,7.6,65.3,Average
Vikram Kumar,ST1026,93.6,86.0,71.6,95.9,93.2,7.0,95.1,7.2,100.0,Excellent
Aditya Patel,ST1027,65.1,52.3,62.2,67.0,57.4,3.3,47.0,7.1,67.1,Average
Aman Bansal,ST1028,73.8,73.4,79.2,87.3,62.5,7.3,96.3,5.6,86.6,Excellent
Pranav Yadav,ST1029,89.0,88.1,80.7,83.9,94.5,4.8,85.2,7.0,93.7,Excellent
Sanya Agarwal,ST1030,63.4,74.0,79.0,67.1,63.5,6.0,64.8,5.8,83.8,Good
Shreya Chauhan,ST1031,63.9,58.2,73.4,64.5,50.5,4.3,68.5,7.0,65.5,Average
Sachin Saxena,ST1032,79.2,74.9,75.4,55.2,94.7,4.9,88.3,7.8,81.0,Good
Isha Malhotra,ST1033,66.5,48.6,51.2,68.4,60.8,5.0,56.3,7.0,69.1,Average
Ishaan Malhotra,ST1034,100.0,80.3,84.6,74.0,82.2,6.9,83.0,8.0,99.3,Excellent
Mohit Saxena,ST1035,72.1,61.2,68.5,79.9,67.6,2.9,79.8,7.6,75.2,Good
Khushi Kapoor,ST1036,73.4,51.8,45.8,79.9,58.3,4.4,72.7,7.8,75.3,Good
Nisha Shah,ST1037,54.3,52.1,56.8,59.4,57.7,4.3,64.8,7.8,72.8,Good
Riya Kapoor,ST1038,70.7,48.7,57.1,51.8,48.7,4.4,32.8,8.5,73.0,Good
Aarav Mehta,ST1039,54.1,48.7,73.7,74.2,55.7,4.8,49.3,5.7,75.7,Good
Aryan Sharma,ST1040,79.5,56.6,73.4,63.4,63.8,5.3,77.8,6.4,74.2,Good
Arjun Mishra,ST1041,63.7,71.1,57.6,72.3,49.2,2.4,51.9,7.3,66.5,Average
Kavya Malhotra,ST1042,73.5,74.3,81.0,63.4,69.7,4.1,60.3,7.9,78.8,Good
Shivam Singh,ST1043,77.0,60.6,76.9,87.2,73.4,4.7,79.0,7.2,89.9,Excellent
Sameer Gupta,ST1044,61.2,71.7,63.6,65.3,58.4,1.5,69.2,7.4,68.2,Average
Varun Joshi,ST1045,70.4,80.5,89.7,78.9,75.1,7.5,73.3,7.7,96.2,Excellent
Rahul Mehta,ST1046,74.5,53.4,64.5,71.6,63.7,1.5,67.2,7.1,64.8,Average
Aryan Malhotra,ST1047,85.1,70.3,92.1,83.6,57.5,6.3,64.8,6.5,86.0,Excellent
Deepak Verma,ST1048,73.5,57.5,56.6,80.7,75.2,4.1,48.7,7.6,73.2,Good
Sameer Saxena,ST1049,94.4,87.6,76.9,70.8,74.3,6.1,100.0,9.3,100.0,Excellent
Nikhil Gupta,ST1050,100.0,87.1,87.8,88.1,92.4,8.8,83.5,6.5,100.0,Excellent
Shivam Yadav,ST1051,63.2,71.0,63.2,66.3,34.1,2.6,44.7,6.6,74.5,Good
Vikram Singh,ST1052,92.9,74.6,80.1,59.2,68.5,4.7,58.9,6.5,85.2,Excellent
Aarav Singh,ST1053,79.2,61.3,52.7,76.5,57.6,5.0,64.7,6.6,73.6,Good
Sneha Kapoor,ST1054,82.1,85.3,83.2,70.8,70.2,4.0,69.4,8.5,90.6,Excellent
Ishaan Singh,ST1055,83.6,77.7,70.9,75.1,84.8,7.8,81.2,6.3,89.8,Excellent
Aarav Gupta,ST1056,77.0,48.7,80.3,72.6,40.5,6.0,43.1,7.2,71.8,Good
Pranav Chauhan,ST1057,71.7,82.1,55.6,64.0,73.2,8.4,81.1,6.5,91.4,Excellent
Varun Joshi,ST1058,65.8,80.6,72.8,59.8,72.9,3.9,48.0,5.8,82.5,Good
Isha Kapoor,ST1059,96.4,94.6,83.2,80.1,77.2,5.6,75.7,6.6,97.9,Excellent
Pranav Agarwal,ST1060,90.4,88.3,91.3,95.7,82.2,6.9,88.9,4.5,92.5,Excellent
Diya Sinha,ST1061,65.7,71.4,55.3,69.3,65.5,5.3,72.9,7.1,75.4,Good
Sakshi Mehta,ST1062,58.4,46.7,36.4,40.4,47.2,5.3,50.7,7.5,69.6,Average
Sakshi Kumar,ST1063,90.1,90.1,88.7,82.9,84.5,6.3,63.9,6.0,99.3,Excellent
Rohan Gupta,ST1064,72.3,58.9,67.5,57.2,70.6,4.3,53.1,6.5,69.5,Average
Nikhil Mehta,ST1065,82.3,72.0,75.6,78.8,62.2,2.5,57.8,6.0,74.2,Good
Isha Mishra,ST1066,71.6,62.7,88.0,73.7,79.8,9.0,58.6,4.5,88.7,Excellent
Riya Kumar,ST1067,86.5,66.3,55.2,83.0,64.9,4.1,76.8,5.6,78.4,Good
Diya Mehta,ST1068,72.4,72.6,50.1,65.3,70.9,0.5,57.7,8.2,80.5,Good
Neha Verma,ST1069,70.0,65.5,53.4,58.6,65.7,0.5,62.9,7.2,64.0,Average
Ananya Yadav,ST1070,56.9,37.2,27.4,26.6,31.5,1.3,31.9,7.7,49.2,At Risk
Meera Mishra,ST1071,88.3,75.4,69.5,70.3,81.6,3.2,62.7,9.3,88.4,Excellent
Rahul Mehta,ST1072,75.6,54.5,66.7,69.3,65.0,4.3,50.5,8.1,69.6,Average
Sameer Sharma,ST1073,72.3,84.0,96.3,84.5,85.7,3.9,82.1,7.7,82.0,Good
Priya Pandey,ST1074,78.6,70.7,68.8,79.1,64.0,5.5,57.0,6.5,80.6,Good
Diya Joshi,ST1075,62.5,60.6,52.4,76.3,63.2,4.8,73.4,8.6,79.8,Good
Akash Mehta,ST1076,92.1,68.2,87.9,79.9,75.0,6.2,96.9,8.1,100.0,Excellent
Ananya Malhotra,ST1077,95.4,77.0,78.0,81.0,90.5,4.8,91.2,7.9,92.4,Excellent
Priya Joshi,ST1078,70.1,61.2,65.4,78.0,56.9,5.7,69.6,6.9,81.7,Good
Sneha Sharma,ST1079,80.9,55.9,78.0,82.8,85.0,5.4,83.1,6.0,85.0,Good
Nisha Kapoor,ST1080,83.5,66.9,63.7,56.7,58.7,3.5,48.8,8.7,84.9,Good
Sakshi Joshi,ST1081,71.2,68.9,58.8,66.7,72.6,3.8,79.8,8.0,79.9,Good
Deepak Mehta,ST1082,70.0,75.3,81.1,56.0,74.3,4.8,91.3,6.8,82.5,Good
Aditya Singh,ST1083,75.4,69.5,76.1,68.6,69.2,8.7,73.3,6.3,90.1,Excellent
Sneha Rana,ST1084,76.2,79.5,66.8,60.4,86.4,5.3,75.0,5.7,84.9,Good
Kavya Rana,ST1085,63.9,51.5,68.3,70.2,55.1,1.9,54.3,8.1,75.7,Good
Aditya Verma,ST1086,93.5,71.8,72.5,90.7,87.6,4.3,77.1,7.3,91.2,Excellent
Rahul Gupta,ST1087,54.0,70.3,58.3,60.4,49.5,3.9,51.4,7.5,71.8,Good
Sakshi Sharma,ST1088,61.4,61.5,48.2,56.7,58.3,2.4,57.7,8.2,60.3,Average
Aarav Sinha,ST1089,69.0,43.7,43.3,73.5,76.6,5.4,66.5,7.7,70.1,Good
Aditya Yadav,ST1090,96.3,100.0,95.6,83.4,88.5,4.6,95.2,6.2,98.5,Excellent
Pranav Patel,ST1091,82.8,47.0,69.8,65.6,60.1,3.3,62.1,7.2,74.8,Good
Sakshi Kumar,ST1092,100.0,80.3,78.0,88.3,99.5,7.9,54.2,7.1,97.2,Excellent
Ayush Rana,ST1093,49.2,69.5,45.4,53.4,52.9,2.0,55.0,7.9,64.9,Average
Tanya Gupta,ST1094,62.7,48.7,54.7,68.2,76.4,5.9,81.2,5.3,72.3,Good
Sanya Patel,ST1095,78.2,50.1,48.8,68.1,77.6,4.8,71.5,6.0,82.8,Good
Neha Mishra,ST1096,85.2,90.9,93.7,70.6,73.7,6.6,100.0,7.5,98.0,Excellent
Karan Sharma,ST1097,57.7,29.2,39.4,68.5,55.3,4.5,59.0,7.7,66.1,Average
Aryan Patel,ST1098,65.8,30.4,44.4,67.0,58.1,0.5,61.6,9.1,60.8,Average
Karan Singh,ST1099,75.9,76.4,68.4,69.7,50.6,6.4,54.6,5.3,78.9,Good
Meera Kumar,ST1100,84.1,82.1,87.9,97.2,100.0,3.4,95.0,8.1,100.0,Excellent
Manish Singh,ST1101,60.5,77.7,59.6,59.7,65.0,5.3,66.8,7.3,79.1,Good
Manish Pandey,ST1102,45.0,25.0,36.0,52.3,43.0,1.9,28.4,6.3,44.5,At Risk
Sakshi Mehta,ST1103,71.9,62.3,64.1,74.9,81.9,5.4,51.6,5.2,79.5,Good
Sameer Malhotra,ST1104,89.4,83.3,67.0,71.4,86.6,8.5,74.0,7.5,96.6,Excellent
Varun Bansal,ST1105,55.2,57.0,48.5,71.3,53.5,5.2,43.9,6.0,70.0,Good
Vikram Sharma,ST1106,77.7,73.2,74.3,78.8,61.9,7.0,85.4,5.4,92.0,Excellent
Ayush Bansal,ST1107,61.0,44.4,35.7,69.4,48.8,2.7,49.7,7.7,66.2,Average
Nikhil Agarwal,ST1108,73.5,65.6,57.4,57.0,59.7,3.7,74.9,7.1,69.8,Average
Shivam Mehta,ST1109,85.0,89.9,72.3,77.8,83.2,6.9,58.3,7.3,80.5,Good
Karan Saxena,ST1110,81.5,58.0,45.9,55.2,54.6,3.7,43.8,7.6,80.0,Good
Aditya Sharma,ST1111,82.0,60.4,65.8,64.0,54.5,5.2,61.0,9.5,84.5,Good
Deepak Gupta,ST1112,92.5,69.9,88.3,93.6,91.2,6.0,85.9,7.6,100.0,Excellent
Sneha Joshi,ST1113,77.3,63.5,80.6,76.0,87.0,4.4,48.8,7.7,81.5,Good
Shivam Sinha,ST1114,59.0,41.6,73.5,50.2,74.1,1.2,56.1,6.6,54.9,Average
Karan Singh,ST1115,85.4,86.4,70.1,79.2,74.9,7.6,81.9,8.3,88.1,Excellent
Meera Sharma,ST1116,75.2,82.5,70.7,84.4,79.1,5.0,80.2,6.5,86.6,Excellent
Nisha Pandey,ST1117,59.9,40.0,57.0,45.6,35.6,1.7,46.3,6.5,56.0,Average
Ayush Rana,ST1118,68.8,95.2,59.9,69.2,97.8,2.5,66.9,7.1,90.9,Excellent
Arjun Kumar,ST1119,74.6,77.1,48.4,63.5,61.4,3.9,34.0,7.6,75.0,Good
Tanya Malhotra,ST1120,75.9,70.9,63.2,76.0,66.7,2.4,61.1,6.8,79.1,Good
Meera Singh,ST1121,91.7,85.8,99.5,72.5,74.6,5.1,64.9,6.1,89.9,Excellent
Pooja Singh,ST1122,63.0,48.0,50.7,68.6,64.7,5.1,46.9,6.1,67.0,Average
Pooja Bansal,ST1123,50.4,39.6,58.1,55.5,53.4,2.5,39.4,7.5,53.3,Average
Khushi Verma,ST1124,86.4,98.6,84.8,85.0,69.6,6.3,95.9,7.4,93.7,Excellent
Shivam Saxena,ST1125,82.8,73.8,69.5,58.8,95.9,4.8,66.7,7.7,81.6,Good
Shreya Sharma,ST1126,81.4,80.2,94.0,69.4,71.7,3.5,44.7,5.6,80.4,Good
Aman Sharma,ST1127,90.7,88.3,79.2,75.4,92.1,8.3,71.3,5.8,90.8,Excellent
Ishaan Saxena,ST1128,88.5,68.5,66.3,70.2,80.7,5.3,60.2,7.9,83.1,Good
Meera Malhotra,ST1129,71.5,53.4,73.5,65.0,68.2,3.8,65.0,6.7,75.3,Good
Anjali Singh,ST1130,45.0,59.7,69.8,65.4,74.8,4.1,58.4,7.3,62.3,Average
Kavya Sharma,ST1131,68.0,67.8,84.6,71.8,58.3,4.5,61.1,9.5,90.7,Excellent
Deepak Sinha,ST1132,80.7,58.8,89.2,86.2,67.6,5.7,74.9,4.7,92.3,Excellent
Neha Chauhan,ST1133,69.3,47.2,43.2,47.2,69.2,2.9,43.0,7.1,68.7,Average
Rohan Patel,ST1134,75.2,70.0,84.2,72.4,57.6,1.2,77.0,8.2,80.3,Good
Tanya Shah,ST1135,73.7,62.8,63.8,83.8,73.7,4.9,69.6,6.0,81.8,Good
Arjun Verma,ST1136,100.0,79.6,92.3,92.8,81.0,6.7,100.0,6.7,100.0,Excellent
Mohit Sharma,ST1137,54.0,30.0,38.5,69.9,47.4,6.5,57.2,5.6,63.1,Average
Rahul Kapoor,ST1138,77.7,67.5,83.6,69.8,69.2,9.8,59.1,7.0,93.5,Excellent
Sameer Gupta,ST1139,71.6,81.7,71.5,86.8,90.0,6.4,52.1,6.2,81.3,Good
Manish Kumar,ST1140,56.4,31.0,33.0,46.6,50.6,0.9,58.3,7.1,52.5,Average
Shivam Rana,ST1141,93.4,70.5,83.8,74.2,81.3,6.2,62.0,7.8,95.2,Excellent
Kavya Yadav,ST1142,82.5,74.0,91.9,73.4,60.5,2.8,77.4,7.8,86.4,Excellent
Rahul Chauhan,ST1143,79.7,65.3,88.8,71.1,75.4,4.4,67.8,8.1,91.8,Excellent
Ananya Singh,ST1144,58.9,73.1,50.8,53.8,63.2,1.6,83.1,9.2,79.0,Good
Sneha Rana,ST1145,75.7,87.4,86.7,55.3,76.9,5.9,71.1,7.0,87.0,Excellent
Sachin Singh,ST1146,87.1,78.3,66.0,82.1,94.1,2.7,53.5,9.4,83.2,Good
Sameer Pandey,ST1147,55.9,35.4,67.2,38.6,25.0,1.8,44.6,7.6,60.5,Average
Mohit Sharma,ST1148,74.1,89.4,75.6,74.0,74.3,4.7,83.8,8.4,93.6,Excellent
Akash Bansal,ST1149,81.3,71.2,65.1,55.0,85.6,4.0,53.2,7.1,77.6,Good
Pooja Agarwal,ST1150,65.1,50.8,58.6,56.0,54.4,2.8,40.8,8.1,65.5,Average
Sachin Singh,ST1151,100.0,88.8,96.7,98.5,99.3,8.3,100.0,6.2,100.0,Excellent
Vikram Chauhan,ST1152,76.0,93.6,75.2,82.7,89.8,4.0,71.3,8.5,93.8,Excellent
Nisha Bansal,ST1153,69.6,52.0,42.5,58.5,32.6,6.0,33.8,8.0,74.0,Good
Sakshi Kapoor,ST1154,93.3,60.1,67.5,83.4,74.8,3.2,60.8,7.0,77.6,Good
Neha Verma,ST1155,98.7,82.3,96.4,80.5,77.6,6.5,88.2,7.0,100.0,Excellent
Priya Agarwal,ST1156,45.0,41.1,35.1,67.6,70.5,3.6,54.7,6.2,62.0,Average
Aditya Rana,ST1157,70.0,56.9,81.3,61.1,66.9,5.8,73.1,7.8,73.7,Good
Vikram Sharma,ST1158,74.1,77.8,69.9,60.4,62.4,6.0,56.5,7.7,94.6,Excellent
Aryan Mishra,ST1159,71.3,57.0,59.5,57.3,61.2,0.5,62.9,6.3,65.7,Average
Varun Agarwal,ST1160,66.8,79.2,79.9,73.4,77.4,3.4,80.8,9.4,92.7,Excellent
Pranav Singh,ST1161,77.0,88.6,89.7,72.3,90.4,6.2,86.6,7.3,89.3,Excellent
Pooja Shah,ST1162,75.6,74.5,85.3,81.1,100.0,7.3,72.8,6.5,100.0,Excellent
Anjali Kumar,ST1163,65.1,55.1,64.5,80.0,59.2,6.3,57.2,8.0,78.3,Good
Meera Sharma,ST1164,88.8,100.0,100.0,89.0,100.0,6.9,100.0,6.3,96.4,Excellent
Arjun Chauhan,ST1165,68.8,39.4,31.9,34.1,62.1,0.5,49.9,8.8,50.6,Average
Karan Chauhan,ST1166,72.7,53.5,59.3,57.5,64.6,4.0,59.7,5.9,65.2,Average
Deepak Sinha,ST1167,67.1,49.0,45.4,76.1,44.3,6.5,71.7,6.6,69.4,Average
Nikhil Kapoor,ST1168,76.1,73.4,71.0,83.9,69.6,7.2,67.0,6.7,82.5,Good
Rahul Verma,ST1169,69.8,64.0,79.9,61.4,59.7,3.5,72.7,6.6,80.1,Good
Aditya Sinha,ST1170,74.7,61.3,73.6,81.9,91.2,7.3,58.8,6.0,88.5,Excellent
Pooja Rana,ST1171,80.7,84.1,85.5,71.2,57.8,3.4,68.6,6.7,85.6,Excellent
Ananya Kapoor,ST1172,68.1,37.8,62.2,74.0,60.5,5.0,42.5,6.5,72.1,Good
Sneha Sharma,ST1173,68.3,56.3,53.3,53.5,51.2,1.2,60.3,7.0,62.3,Average
Arjun Yadav,ST1174,89.0,100.0,100.0,78.0,92.3,7.6,96.4,8.1,100.0,Excellent
Amit Mehta,ST1175,75.6,77.3,69.9,85.9,94.7,6.8,79.2,7.2,87.1,Excellent
Aman Patel,ST1176,63.3,52.1,49.1,41.2,65.8,1.7,38.4,7.3,54.6,Average
Sakshi Pandey,ST1177,82.6,60.6,60.2,75.6,78.4,6.3,52.4,7.6,79.3,Good
Rohan Kapoor,ST1178,74.2,66.3,49.6,67.8,72.0,3.3,69.2,7.1,82.9,Good
Shivam Malhotra,ST1179,68.3,64.7,72.6,77.1,72.8,5.0,62.9,6.2,73.4,Good
Karan Shah,ST1180,100.0,63.2,87.9,78.6,74.8,4.7,72.7,5.4,94.2,Excellent
Rohan Sinha,ST1181,82.5,89.9,100.0,79.5,100.0,7.4,70.8,7.7,98.6,Excellent
Kavya Sinha,ST1182,66.1,44.8,48.6,58.8,70.9,1.2,56.7,5.2,54.4,Average
Rahul Gupta,ST1183,73.0,56.9,81.3,60.8,70.0,2.7,67.2,5.8,75.8,Good
Pranav Joshi,ST1184,87.1,62.7,73.6,63.6,59.3,6.0,73.7,7.4,90.2,Excellent
Deepak Sharma,ST1185,78.4,71.2,69.3,85.9,73.6,1.1,50.6,7.5,69.9,Average
Aarav Kapoor,ST1186,69.2,63.8,78.1,65.3,68.6,3.1,49.0,8.7,77.7,Good
Sanya Saxena,ST1187,76.4,63.1,76.8,82.9,68.0,4.3,73.5,6.4,87.3,Excellent
Pooja Malhotra,ST1188,66.1,77.0,75.2,74.1,76.2,4.7,38.0,7.8,86.4,Excellent
Aarav Saxena,ST1189,74.9,53.4,87.4,73.3,71.5,3.5,57.7,7.0,72.1,Good
Varun Gupta,ST1190,100.0,82.0,98.5,83.9,78.9,4.8,100.0,7.6,99.0,Excellent
Neha Singh,ST1191,100.0,100.0,74.3,85.9,85.2,9.7,93.0,6.6,100.0,Excellent
Deepak Saxena,ST1192,81.1,59.0,74.8,88.5,82.4,6.8,80.6,7.3,92.8,Excellent
Sneha Chauhan,ST1193,67.5,52.3,50.1,76.2,55.2,3.7,46.3,7.4,70.3,Good
Rahul Gupta,ST1194,74.4,45.8,49.4,54.4,45.4,0.5,56.9,7.8,63.6,Average
Rohan Chauhan,ST1195,84.8,64.7,58.8,78.4,54.5,4.0,54.0,6.0,71.2,Good
Amit Yadav,ST1196,81.4,74.3,59.6,74.5,54.1,4.6,69.6,7.1,77.4,Good
Karan Saxena,ST1197,73.7,56.7,48.1,50.8,62.5,2.4,65.7,7.9,73.7,Good
Mohit Mehta,ST1198,66.8,49.7,54.4,60.7,59.4,0.5,54.1,7.5,67.7,Average
Shreya Sharma,ST1199,94.3,88.5,82.5,90.7,80.5,6.1,92.4,6.8,100.0,Excellent
Rohan Gupta,ST1200,67.8,71.6,66.0,83.8,89.2,5.8,54.5,5.0,88.6,Excellent
Nikhil Agarwal,ST1201,66.0,69.4,69.5,92.3,45.1,6.2,69.7,8.4,77.0,Good
Amit Kumar,ST1202,54.9,69.8,64.8,64.2,51.3,3.5,65.8,5.8,75.1,Good
Sanya Pandey,ST1203,90.5,69.2,78.0,86.1,76.4,5.0,75.3,6.4,88.5,Excellent
Sachin Agarwal,ST1204,60.5,54.6,77.2,62.6,51.9,5.5,53.5,6.2,76.2,Good
Manish Sharma,ST1205,65.3,70.3,60.4,57.3,84.3,1.9,55.9,7.7,72.1,Good
Amit Shah,ST1206,58.6,28.2,57.3,40.6,71.5,0.5,61.8,7.9,54.7,Average
Aman Saxena,ST1207,83.3,58.3,63.2,73.0,60.4,4.3,78.1,7.7,79.1,Good
Nisha Saxena,ST1208,64.3,49.8,87.8,76.4,74.1,6.4,70.1,7.5,85.0,Good
Aditya Rana,ST1209,100.0,69.7,91.9,92.1,94.2,9.4,100.0,8.2,100.0,Excellent
Rahul Pandey,ST1210,100.0,86.9,100.0,87.4,100.0,4.7,90.2,6.7,100.0,Excellent
Nisha Yadav,ST1211,53.0,57.2,45.2,69.9,52.1,2.2,55.3,6.5,57.6,Average
Shivam Sharma,ST1212,73.9,52.1,49.1,86.5,58.9,7.2,30.6,6.5,70.9,Good
Sameer Sinha,ST1213,69.7,70.2,61.2,60.0,78.7,3.0,53.8,6.1,66.2,Average
Sneha Yadav,ST1214,62.3,67.5,81.9,40.8,70.7,6.2,64.3,6.5,78.3,Good
Akash Sharma,ST1215,74.7,63.6,67.5,75.0,72.1,6.4,81.0,5.3,78.8,Good
Sameer Malhotra,ST1216,71.7,89.9,54.8,76.8,54.7,6.1,48.6,6.0,78.8,Good
Avni Mishra,ST1217,74.1,64.8,83.4,58.6,63.7,4.1,70.2,5.4,77.2,Good
Riya Shah,ST1218,77.6,75.9,79.8,86.6,61.7,5.1,100.0,8.2,83.2,Good
Deepak Chauhan,ST1219,57.6,43.4,52.0,57.4,63.1,1.6,54.2,7.5,59.6,Average
Aditya Sinha,ST1220,86.2,83.9,72.8,82.0,82.1,7.2,97.3,8.6,100.0,Excellent
Shivam Rana,ST1221,66.3,52.3,63.1,55.2,62.1,0.8,63.4,8.6,68.0,Average
Pranav Malhotra,ST1222,100.0,92.1,100.0,80.5,93.5,7.0,100.0,8.0,100.0,Excellent
Riya Agarwal,ST1223,91.7,83.8,94.3,74.6,76.0,9.4,76.5,6.3,100.0,Excellent
Pranav Verma,ST1224,74.6,61.0,60.8,75.0,69.8,5.4,47.3,7.4,78.0,Good
Anjali Kumar,ST1225,70.7,54.2,45.6,55.7,62.5,5.0,65.1,6.1,65.8,Average
Ayush Kumar,ST1226,76.2,45.0,25.0,62.0,45.5,0.5,57.8,7.0,51.8,Average
Pooja Kumar,ST1227,96.9,71.9,68.0,78.1,78.2,3.9,79.2,7.1,99.7,Excellent
Avni Gupta,ST1228,86.8,76.4,62.9,59.1,61.2,6.5,51.7,5.1,83.0,Good
Aryan Singh,ST1229,92.1,73.8,77.5,79.0,77.0,5.9,74.8,6.4,95.6,Excellent
Shivam Saxena,ST1230,100.0,97.9,90.7,92.0,83.1,5.6,87.1,7.7,100.0,Excellent
Shreya Bansal,ST1231,71.2,45.2,85.8,72.6,56.1,4.6,52.5,6.6,81.4,Good
Varun Gupta,ST1232,65.6,44.1,57.2,72.4,69.5,2.0,56.0,6.6,69.3,Average
Deepak Rana,ST1233,97.1,53.9,56.9,62.6,65.3,9.1,78.8,6.1,77.6,Good
Diya Singh,ST1234,61.9,100.0,87.3,83.5,74.9,7.0,85.2,7.5,92.8,Excellent
Rohan Rana,ST1235,63.7,67.9,59.6,41.6,50.5,1.7,59.0,7.8,67.3,Average
Meera Saxena,ST1236,86.6,72.0,56.9,78.0,66.5,6.0,69.8,6.6,85.7,Excellent
Pooja Shah,ST1237,97.5,100.0,86.3,92.2,100.0,9.0,82.3,6.5,100.0,Excellent
Manish Rana,ST1238,81.8,52.2,52.7,31.3,62.5,2.4,38.4,8.2,61.1,Average
Shreya Yadav,ST1239,78.3,66.2,80.1,69.1,69.4,3.5,71.4,8.5,81.0,Good
Manish Yadav,ST1240,65.7,62.1,42.8,57.1,55.1,3.9,70.5,6.7,69.9,Average
Aryan Mehta,ST1241,73.3,81.6,75.0,68.0,51.9,3.6,68.1,7.1,79.8,Good
Rahul Chauhan,ST1242,85.0,64.5,89.6,71.5,67.4,5.0,65.5,8.2,91.3,Excellent
Sachin Pandey,ST1243,91.8,55.0,88.5,71.6,50.9,2.4,56.3,7.8,73.7,Good
Manish Kapoor,ST1244,79.6,56.3,42.6,69.8,63.3,4.7,44.4,5.6,72.6,Good
Karan Gupta,ST1245,69.5,52.0,59.5,62.7,75.3,1.9,48.3,6.5,65.2,Average
Shivam Yadav,ST1246,91.5,58.7,83.6,74.0,81.4,7.4,100.0,5.9,91.5,Excellent
Pooja Pandey,ST1247,72.8,55.6,77.7,71.2,75.8,4.4,61.4,6.7,79.0,Good
Mohit Kumar,ST1248,78.8,72.5,75.4,75.3,67.2,6.0,77.6,7.3,79.9,Good
Nikhil Saxena,ST1249,86.9,68.8,62.8,71.5,51.6,4.0,70.0,9.0,82.8,Good
Varun Shah,ST1250,97.5,76.4,78.9,71.6,78.3,5.9,94.7,6.8,99.7,Excellent
Varun Chauhan,ST1251,64.8,81.9,58.9,69.7,67.1,4.7,68.4,7.7,75.5,Good
Sachin Gupta,ST1252,69.5,52.7,63.4,74.7,75.8,2.9,63.9,8.4,84.8,Good
Shivam Mishra,ST1253,80.4,78.0,68.1,65.5,97.8,2.6,79.3,8.8,84.1,Good
Ayush Bansal,ST1254,94.0,61.8,70.3,84.2,78.7,6.5,84.8,8.0,95.9,Excellent
Deepak Joshi,ST1255,62.4,52.8,69.2,70.4,66.1,4.0,60.9,6.4,66.8,Average
Avni Yadav,ST1256,51.9,61.2,82.8,60.9,64.2,1.3,53.6,6.0,76.5,Good
Kavya Patel,ST1257,82.4,47.8,83.3,79.8,66.1,2.6,55.0,6.7,71.4,Good
Anjali Chauhan,ST1258,88.5,75.8,85.7,84.0,87.1,6.0,88.1,7.0,97.1,Excellent
